Date,MXBR,MXCA,MXCH,MXFR,MXGB,MXIN,MXJP,MXZA,TAMSCI,MXEG,BBDXY
2005-11-04,1759.1457,1241.5922,789.5629,159.0461,3399.4964,8.1271,8.1283,83.444,8.3323,237.6656,1092.4
2005-11-11,1787.108,1235.7347,800.9723,158.5571,3410.1617,8.4414,8.1468,83.8191,8.6592,248.8888,1094.86
2005-11-18,1805.0387,1240.9731,807.0545,160.1407,3385.5619,8.6492,8.2997,87.5466,8.642,237.9482,1097.07
2005-11-25,1858.4055,1299.1277,813.1451,161.5679,3404.6039,8.8059,8.276,89.1343,8.697,235.0472,1097.35
2005-12-02,1934.9762,1308.8423,824.4175,163.8362,3452.8806,8.8881,8.4925,89.2809,8.8824,235.5362,1094.8
2005-12-09,1877.8495,1329.2765,831.515,165.4536,3487.2893,9.008,8.5346,91.4525,8.902,252.3394,1090.14
2005-12-16,1842.7833,1329.8057,831.6805,169.5012,3530.491,9.4081,8.7856,92.357,9.1101,249.6762,1074.51
2005-12-23,1841.3707,1333.1792,817.8847,169.2792,3495.7012,9.403,9.0937,96.9262,9.3436,254.3722,1084.85
2005-12-30,1850.7656,1340.9923,826.13,167.5788,3481.9822,9.5821,9.0127,96.7766,9.4484,264.4447,1087.27
2006-01-06,2040.819,1381.7036,872.3682,177.7127,3657.8114,9.9668,9.4896,103.1428,9.8889,279.7371,1065.15
2006-01-13,2103.4141,1382.211,876.5346,177.0374,3654.3264,9.7675,9.4721,107.1606,9.9386,307.6645,1063.97
2006-01-20,2139.0108,1390.6729,861.0344,173.7357,3600.9389,9.9332,9.0952,108.2479,9.6194,314.8788,1065.87
2006-01-27,2256.0701,1432.7622,870.8343,180.6552,3693.7467,10.2524,9.3248,110.3585,9.7369,333.8726,1069.18
2006-02-03,2204.5651,1442.3611,867.5868,178.0406,3652.1229,10.0886,9.2822,111.3106,9.7958,339.0854,1074.46
2006-02-10,2223.9434,1400.3526,864.293,175.8806,3630.2774,10.4518,9.1312,111.3514,9.76,315.2139,1079.93
2006-02-17,2357.1615,1418.7463,863.7595,178.6772,3666.647,10.2557,8.8559,111.6171,9.8244,285.744,1078.88
2006-02-24,2355.6855,1423.5887,865.8476,180.3,3686.3351,10.4018,9.1898,110.1829,9.6228,297.1501,1078.7
2006-03-03,2399.8983,1469.0623,877.9,180.0494,3709.2995,10.7774,9.0686,105.7501,9.6646,296.4961,1070.15
2006-03-10,2185.4203,1416.7493,870.1812,180.6118,3697.2068,11.1265,9.0482,102.8293,9.5058,280.5493,1086.69
2006-03-17,2310.4314,1439.2926,897.3153,187.6335,3826.9145,11.2888,9.3777,110.5738,9.5582,274.4745,1069.62
2006-03-24,2254.7495,1446.4218,884.2658,188.1387,3828.5393,11.289,9.3872,112.1327,9.2549,285.0011,1082.56
2006-03-31,2244.9509,1447.1488,887.3193,189.7428,3776.2632,11.6139,9.6684,114.3955,9.6896,286.9961,1080.1
2006-04-07,2343.4822,1490.1675,896.4708,188.0844,3819.4824,11.8942,9.9304,115.0694,9.988,301.0599,1079.2
2006-04-21,2436.1007,1524.3814,920.9379,194.0485,3975.2304,12.1668,9.9233,118.3635,10.4387,283.2472,1061.96
2006-04-28,2459.4211,1521.3793,943.9783,196.1077,3997.199,12.0469,9.9397,119.1813,10.6679,281.4308,1041.14
2006-05-05,2594.2767,1547.7752,960.8593,202.1222,4129.0124,12.6663,10.1916,121.5208,11.0498,286.2916,1030.74
2006-05-12,2460.3351,1511.8963,967.1211,200.5364,4078.1896,12.5416,10.1009,116.7754,10.9027,269.6346,1018.78
2006-05-19,2214.9099,1435.8224,911.6887,191.3098,3879.2038,10.9845,9.6649,103.2833,10.3401,260.1747,1030.55
2006-05-26,2199.5993,1480.291,911.6739,194.5441,3927.9922,10.7917,9.4326,104.6006,9.9964,222.0804,1033.1
2006-06-02,2176.8209,1504.6748,928.0926,195.878,3970.942,10.454,9.5136,103.517,10.139,238.4641,1025.68
2006-06-09,1969.2978,1425.8433,881.5404,184.78,3813.429,9.7134,8.7021,95.0782,9.2972,233.8903,1042.44
2006-06-16,1946.7263,1387.1757,864.9098,182.1096,3787.8368,9.7756,8.7786,92.9511,9.5191,209.4254,1046.65
2006-06-23,1993.8246,1393.4647,876.8827,185.4943,3794.0815,10.2745,8.7592,88.8131,9.3299,212.9241,1055.9
2006-06-30,2187.9046,1452.8571,912.3993,195.394,3946.6022,10.5459,9.1725,96.6523,9.7761,210.1268,1039.58
2006-07-07,2168.1256,1458.9461,915.0513,195.426,3991.8465,10.4813,9.1322,98.1666,9.6941,233.5171,1034.6
2006-07-14,2080.1154,1438.2856,886.8501,186.4209,3835.5125,10.5715,8.6533,93.5341,9.2475,222.8705,1045.79
2006-07-21,2083.6297,1400.0238,898.4742,188.0498,3884.4856,9.8637,8.6447,92.9959,9.2698,214.7899,1044.62
2006-07-28,2218.9242,1461.1451,939.1248,197.089,4065.2599,10.4659,9.0464,97.1596,9.3875,238.8802,1037.98
2006-08-04,2266.3468,1478.2835,942.9393,199.2862,4115.5116,10.6367,9.1521,99.0826,9.3688,245.0213,1031.05
2006-08-11,2214.7158,1488.5616,922.427,194.3213,4036.3261,11.0175,9.0289,99.258,9.7152,246.2284,1039.06
2006-08-18,2261.8615,1493.8999,954.835,201.5521,4086.8562,11.3768,9.4234,97.2336,9.9899,245.0699,1036.32
2006-08-25,2159.7371,1524.5934,953.8796,200.3922,4086.9329,11.4473,9.1782,97.6347,9.5919,259.543,1039.47
2006-09-01,2248.3276,1534.0892,971.0512,204.6545,4178.0711,11.6581,9.2819,97.7501,9.8161,267.7026,1033.69
2006-09-08,2170.5459,1476.131,954.8852,197.8489,4045.2665,11.8541,9.2079,93.6377,9.8912,259.2371,1044.49
